gene_id,GOs
Montipora_capitata_HIv3___RNAseq.g4581.t1,GO:0000122;GO:0000228;GO:0000278;GO:0000280;GO:0000785;GO:0000790;GO:0003674;GO:0003682;GO:0003824;GO:0004407;GO:0005488;GO:0005575;GO:0005622;GO:0005623;GO:0005634;GO:0005694;GO:0005730;GO:0005731;GO:0005737;GO:0006139;GO:0006325;GO:0006351;GO:0006355;GO:0006357;GO:0006464;GO:0006476;GO:0006725;GO:0006807;GO:0006996;GO:0007049;GO:0007072;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009303;GO:0009889;GO:0009890;GO:0009891;GO:0009892;GO:0009893;GO:0009987;GO:0010458;GO:0010467;GO:0010468;GO:0010556;GO:0010557;GO:0010558;GO:0010604;GO:0010605;GO:0010628;GO:0010629;GO:0016043;GO:0016070;GO:0016072;GO:0016569;GO:0016570;GO:0016575;GO:0016787;GO:0016810;GO:0016811;GO:0017136;GO:0018130;GO:0019213;GO:0019219;GO:0019222;GO:0019438;GO:0019538;GO:0022402;GO:0030874;GO:0031323;GO:0031324;GO:0031325;GO:0031326;GO:0031327;GO:0031328;GO:0031974;GO:0031981;GO:0032774;GO:0032991;GO:0033558;GO:0034641;GO:0034645;GO:0034654;GO:0034660;GO:0034739;GO:0034979;GO:0035601;GO:0036211;GO:0043170;GO:0043226;GO:0043227;GO:0043228;GO:0043229;GO:0043231;GO:0043232;GO:0043233;GO:0043412;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0044267;GO:0044271;GO:0044422;GO:0044424;GO:0044427;GO:0044428;GO:0044446;GO:0044452;GO:0044454;GO:0044464;GO:0044770;GO:0044772;GO:0045892;GO:0045893;GO:0045934;GO:0045935;GO:0046483;GO:0048285;GO:0048518;GO:0048519;GO:0048522;GO:0048523;GO:0050789;GO:0050794;GO:0051171;GO:0051172;GO:0051173;GO:0051252;GO:0051253;GO:0051254;GO:0051276;GO:0060255;GO:0065007;GO:0070013;GO:0070932;GO:0070933;GO:0071704;GO:0071840;GO:0080090;GO:0090304;GO:0097372;GO:0097659;GO:0098732;GO:0098781;GO:0140014;GO:0140096;GO:1901360;GO:1901362;GO:1901564;GO:1901576;GO:1902679;GO:1902680;GO:1903047;GO:1903506;GO:1903507;GO:1903508;GO:2000112;GO:2000113;GO:2001141
Montipora_capitata_HIv3___RNAseq.g4582.t1,GO:0000003;GO:0000820;GO:0001505;GO:0001666;GO:0002791;GO:0002793;GO:0003008;GO:0003013;GO:0003674;GO:0003824;GO:0003867;GO:0005488;GO:0005515;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005739;GO:0005759;GO:0005829;GO:0006082;GO:0006109;GO:0006520;GO:0006521;GO:0006807;GO:0006937;GO:0006940;GO:0006950;GO:0007162;GO:0007275;GO:0007399;GO:0007417;GO:0007420;GO:0007568;GO:0007610;GO:0007618;GO:0007620;GO:0007626;GO:0008015;GO:0008144;GO:0008150;GO:0008152;GO:0008217;GO:0008483;GO:0008652;GO:0009056;GO:0009058;GO:0009063;GO:0009410;GO:0009448;GO:0009449;GO:0009450;GO:0009628;GO:0009636;GO:0009893;GO:0009966;GO:0009967;GO:0009987;GO:0010033;GO:0010035;GO:0010038;GO:0010039;GO:0010243;GO:0010543;GO:0010544;GO:0010565;GO:0010646;GO:0010647;GO:0010817;GO:0014052;GO:0014053;GO:0014059;GO:0014070;GO:0016053;GO:0016054;GO:0016740;GO:0016769;GO:0019222;GO:0019752;GO:0019842;GO:0019899;GO:0019953;GO:0021549;GO:0022037;GO:0022407;GO:0022408;GO:0022414;GO:0023051;GO:0023056;GO:0030155;GO:0030170;GO:0030193;GO:0030195;GO:0030534;GO:0030902;GO:0031323;GO:0031325;GO:0031644;GO:0031646;GO:0031650;GO:0031652;GO:0031974;GO:0032024;GO:0032101;GO:0032102;GO:0032144;GO:0032145;GO:0032501;GO:0032502;GO:0032787;GO:0032879;GO:0032880;GO:0032890;GO:0032891;GO:0032892;GO:0032991;GO:0033238;GO:0033240;GO:0033602;GO:0033604;GO:0034110;GO:0034111;GO:0035094;GO:0035640;GO:0036094;GO:0036293;GO:0042053;GO:0042069;GO:0042133;GO:0042135;GO:0042136;GO:0042220;GO:0042221;GO:0042391;GO:0042493;GO:0042749;GO:0042752;GO:0042802;GO:0042803;GO:0042995;GO:0043005;GO:0043167;GO:0043168;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0043233;GO:0043269;GO:0043270;GO:0043271;GO:0043279;GO:0043436;GO:0044057;GO:0044070;GO:0044237;GO:0044238;GO:0044248;GO:0044249;GO:0044281;GO:0044282;GO:0044283;GO:0044422;GO:0044424;GO:0044429;GO:0044444;GO:0044446;GO:0044464;GO:0044703;GO:0045471;GO:0045776;GO:0045915;GO:0045933;GO:0045964;GO:0045987;GO:0046394;GO:0046395;GO:0046677;GO:0046883;GO:0046887;GO:0046983;GO:0048037;GO:0048148;GO:0048513;GO:0048518;GO:0048519;GO:0048522;GO:0048523;GO:0048583;GO:0048584;GO:0048585;GO:0048731;GO:0048856;GO:0050433;GO:0050662;GO:0050708;GO:0050714;GO:0050789;GO:0050794;GO:0050795;GO:0050796;GO:0050804;GO:0050806;GO:0050818;GO:0050819;GO:0050865;GO:0050866;GO:0050878;GO:0050896;GO:0051046;GO:0051047;GO:0051048;GO:0051049;GO:0051050;GO:0051051;GO:0051171;GO:0051173;GO:0051222;GO:0051223;GO:0051239;GO:0051240;GO:0051241;GO:0051588;GO:0051589;GO:0051704;GO:0051952;GO:0051953;GO:0051954;GO:0051955;GO:0051956;GO:0051957;GO:0060322;GO:0060359;GO:0061041;GO:0061045;GO:0062012;GO:0065007;GO:0065008;GO:0070013;GO:0070201;GO:0070279;GO:0070472;GO:0070474;GO:0070482;GO:0071704;GO:0072329;GO:0072330;GO:0072347;GO:0080090;GO:0080134;GO:0090087;GO:0090257;GO:0090276;GO:0090277;GO:0090330;GO:0090331;GO:0097151;GO:0097159;GO:0097305;GO:0097458;GO:0098828;GO:0099177;GO:0120025;GO:1900046;GO:1900047;GO:1901363;GO:1901564;GO:1901565;GO:1901566;GO:1901575;GO:1901576;GO:1901698;GO:1901700;GO:1902494;GO:1902722;GO:1903034;GO:1903035;GO:1903530;GO:1903531;GO:1903532;GO:1903792;GO:1903793;GO:1904448;GO:1904450;GO:1904951;GO:1990234;GO:2000211;GO:2001023;GO:2001024
Montipora_capitata_HIv3___RNAseq.g4583.t1,GO:0003674;GO:0005488;GO:0005515;GO:0005575;GO:0005622;GO:0005623;GO:0005634;GO:0005654;GO:0005737;GO:0005794;GO:0005802;GO:0005814;GO:0005815;GO:0005829;GO:0005856;GO:0005929;GO:0006355;GO:0006996;GO:0007275;GO:0007507;GO:0008013;GO:0008104;GO:0008150;GO:0009888;GO:0009889;GO:0009890;GO:0009892;GO:0009966;GO:0009968;GO:0009987;GO:0010468;GO:0010556;GO:0010558;GO:0010605;GO:0010629;GO:0010646;GO:0010648;GO:0012505;GO:0014706;GO:0015630;GO:0016043;GO:0019219;GO:0019222;GO:0022607;GO:0023051;GO:0023057;GO:0030030;GO:0030031;GO:0030111;GO:0030154;GO:0030178;GO:0031323;GO:0031324;GO:0031326;GO:0031327;GO:0031974;GO:0031981;GO:0031984;GO:0032501;GO:0032502;GO:0033036;GO:0035051;GO:0036064;GO:0042692;GO:0042802;GO:0042803;GO:0042995;GO:0043226;GO:0043227;GO:0043228;GO:0043229;GO:0043231;GO:0043232;GO:0043233;GO:0043933;GO:0044085;GO:0044422;GO:0044424;GO:0044428;GO:0044430;GO:0044431;GO:0044441;GO:0044444;GO:0044446;GO:0044450;GO:0044463;GO:0044464;GO:0044782;GO:0045444;GO:0045892;GO:0045934;GO:0046983;GO:0048513;GO:0048519;GO:0048523;GO:0048583;GO:0048585;GO:0048731;GO:0048738;GO:0048856;GO:0048869;GO:0050789;GO:0050794;GO:0051146;GO:0051171;GO:0051172;GO:0051179;GO:0051252;GO:0051253;GO:0051259;GO:0051260;GO:0051262;GO:0051289;GO:0055007;GO:0060255;GO:0060271;GO:0060537;GO:0060828;GO:0061061;GO:0065003;GO:0065007;GO:0070013;GO:0070925;GO:0071840;GO:0072359;GO:0080090;GO:0090090;GO:0098791;GO:0120025;GO:0120031;GO:0120036;GO:0120038;GO:1902679;GO:1903506;GO:1903507;GO:2000112;GO:2000113;GO:2001141
Montipora_capitata_HIv3___RNAseq.g4584.t1,GO:0003674;GO:0003676;GO:0003723;GO:0005047;GO:0005488;GO:0005515;GO:0005575;GO:0005622;GO:0005623;GO:0005634;GO:0005730;GO:0005737;GO:0005783;GO:0005786;GO:0005829;GO:0005840;GO:0005912;GO:0005924;GO:0005925;GO:0006605;GO:0006612;GO:0006613;GO:0006614;GO:0006810;GO:0006886;GO:0008104;GO:0008150;GO:0008312;GO:0012505;GO:0015031;GO:0015833;GO:0019904;GO:0030054;GO:0030055;GO:0031974;GO:0031981;GO:0032991;GO:0033036;GO:0033365;GO:0034613;GO:0042221;GO:0042493;GO:0042886;GO:0043021;GO:0043226;GO:0043227;GO:0043228;GO:0043229;GO:0043231;GO:0043232;GO:0043233;GO:0044422;GO:0044424;GO:0044428;GO:0044444;GO:0044446;GO:0044464;GO:0044877;GO:0045047;GO:0045184;GO:0046907;GO:0048500;GO:0050896;GO:0051179;GO:0051234;GO:0051641;GO:0051649;GO:0070013;GO:0070161;GO:0070727;GO:0070972;GO:0071702;GO:0071705;GO:0072594;GO:0072599;GO:0072657;GO:0090150;GO:0097159;GO:1901363;GO:1990904
Montipora_capitata_HIv3___RNAseq.g4585.t1,GO:0003674;GO:0005215;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005739;GO:0005740;GO:0005741;GO:0005742;GO:0006605;GO:0006626;GO:0006810;GO:0006839;GO:0006886;GO:0006996;GO:0007005;GO:0007006;GO:0008104;GO:0008150;GO:0008320;GO:0008565;GO:0009987;GO:0010941;GO:0010942;GO:0015031;GO:0015833;GO:0016020;GO:0016021;GO:0016043;GO:0017038;GO:0019867;GO:0022857;GO:0022884;GO:0030150;GO:0031090;GO:0031224;GO:0031300;GO:0031301;GO:0031306;GO:0031307;GO:0031966;GO:0031967;GO:0031968;GO:0031975;GO:0032592;GO:0032991;GO:0033036;GO:0033365;GO:0034613;GO:0042886;GO:0042887;GO:0042981;GO:0043065;GO:0043067;GO:0043068;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0044422;GO:0044424;GO:0044425;GO:0044429;GO:0044444;GO:0044446;GO:0044455;GO:0044464;GO:0044743;GO:0045040;GO:0045184;GO:0046907;GO:0048518;GO:0048522;GO:0050789;GO:0050794;GO:0051179;GO:0051204;GO:0051205;GO:0051234;GO:0051641;GO:0051649;GO:0055085;GO:0061024;GO:0065002;GO:0065007;GO:0070585;GO:0070727;GO:0071702;GO:0071705;GO:0071806;GO:0071840;GO:0072594;GO:0072655;GO:0072657;GO:0090150;GO:0090151;GO:0098573;GO:0098588;GO:0098796;GO:0098798;GO:0098799;GO:0098805;GO:1904680;GO:1990542
Montipora_capitata_HIv3___RNAseq.g4586.t1,GO:0000003;GO:0000075;GO:0000077;GO:0000278;GO:0000723;GO:0000724;GO:0000725;GO:0000726;GO:0001756;GO:0001775;GO:0001817;GO:0001819;GO:0001932;GO:0001933;GO:0002200;GO:0002218;GO:0002244;GO:0002253;GO:0002320;GO:0002326;GO:0002328;GO:0002360;GO:0002376;GO:0002377;GO:0002440;GO:0002520;GO:0002521;GO:0002562;GO:0002568;GO:0002637;GO:0002638;GO:0002681;GO:0002682;GO:0002683;GO:0002684;GO:0002697;GO:0002698;GO:0002700;GO:0002701;GO:0003002;GO:0003006;GO:0003674;GO:0003676;GO:0003677;GO:0003690;GO:0003824;GO:0004672;GO:0004674;GO:0004677;GO:0005488;GO:0005515;GO:0005575;GO:0005622;GO:0005623;GO:0005634;GO:0005654;GO:0005667;GO:0005730;GO:0005737;GO:0005829;GO:0005958;GO:0006139;GO:0006259;GO:0006281;GO:0006302;GO:0006303;GO:0006310;GO:0006355;GO:0006357;GO:0006464;GO:0006468;GO:0006725;GO:0006793;GO:0006796;GO:0006807;GO:0006915;GO:0006950;GO:0006974;GO:0006996;GO:0007049;GO:0007093;GO:0007154;GO:0007165;GO:0007275;GO:0007346;GO:0007389;GO:0007399;GO:0007417;GO:0007420;GO:0007507;GO:0008134;GO:0008150;GO:0008152;GO:0008219;GO:0008283;GO:0008284;GO:0008630;GO:0009314;GO:0009628;GO:0009653;GO:0009719;GO:0009725;GO:0009790;GO:0009792;GO:0009888;GO:0009889;GO:0009891;GO:0009892;GO:0009893;GO:0009952;GO:0009987;GO:0010033;GO:0010212;GO:0010243;GO:0010332;GO:0010468;GO:0010556;GO:0010557;GO:0010563;GO:0010564;GO:0010604;GO:0010605;GO:0010623;GO:0010628;GO:0010941;GO:0010942;GO:0010948;GO:0012501;GO:0016043;GO:0016233;GO:0016301;GO:0016310;GO:0016444;GO:0016445;GO:0016447;GO:0016567;GO:0016740;GO:0016772;GO:0016773;GO:0018105;GO:0018193;GO:0018209;GO:0019219;GO:0019220;GO:0019222;GO:0019538;GO:0019899;GO:0019904;GO:0022402;GO:0022414;GO:0023052;GO:0030097;GO:0030098;GO:0030154;GO:0030183;GO:0030217;GO:0031323;GO:0031324;GO:0031325;GO:0031326;GO:0031328;GO:0031347;GO:0031349;GO:0031399;GO:0031400;GO:0031570;GO:0031571;GO:0031647;GO:0031648;GO:0031974;GO:0031981;GO:0032200;GO:0032268;GO:0032269;GO:0032446;GO:0032479;GO:0032481;GO:0032501;GO:0032502;GO:0032868;GO:0032869;GO:0032870;GO:0032991;GO:0032993;GO:0033077;GO:0033151;GO:0033152;GO:0033153;GO:0033554;GO:0034641;GO:0035234;GO:0035282;GO:0035556;GO:0036211;GO:0040008;GO:0042110;GO:0042113;GO:0042127;GO:0042221;GO:0042325;GO:0042326;GO:0042592;GO:0042752;GO:0042770;GO:0042981;GO:0043009;GO:0043065;GO:0043066;GO:0043067;GO:0043068;GO:0043069;GO:0043170;GO:0043226;GO:0043227;GO:0043228;GO:0043229;GO:0043231;GO:0043232;GO:0043233;GO:0043412;GO:0043434;GO:0044237;GO:0044238;GO:0044260;GO:0044267;GO:0044422;GO:0044424;GO:0044428;GO:0044444;GO:0044446;GO:0044464;GO:0044773;GO:0044774;GO:0044783;GO:0044819;GO:0045088;GO:0045089;GO:0045165;GO:0045321;GO:0045786;GO:0045893;GO:0045927;GO:0045930;GO:0045935;GO:0045936;GO:0045944;GO:0046483;GO:0046649;GO:0048145;GO:0048146;GO:0048468;GO:0048513;GO:0048518;GO:0048519;GO:0048522;GO:0048523;GO:0048534;GO:0048536;GO:0048538;GO:0048583;GO:0048584;GO:0048585;GO:0048638;GO:0048639;GO:0048646;GO:0048660;GO:0048731;GO:0048732;GO:0048856;GO:0048869;GO:0050776;GO:0050778;GO:0050789;GO:0050793;GO:0050794;GO:0050896;GO:0051093;GO:0051094;GO:0051171;GO:0051172;GO:0051173;GO:0051174;GO:0051239;GO:0051240;GO:0051246;GO:0051248;GO:0051252;GO:0051254;GO:0051276;GO:0051716;GO:0051726;GO:0060249;GO:0060255;GO:0060322;GO:0060429;GO:0060548;GO:0061053;GO:0065007;GO:0065008;GO:0070013;GO:0070419;GO:0070647;GO:0070887;GO:0071310;GO:0071375;GO:0071417;GO:0071495;GO:0071704;GO:0071840;GO:0072359;GO:0072395;GO:0072401;GO:0072413;GO:0072422;GO:0072431;GO:0080090;GO:0080134;GO:0080135;GO:0090304;GO:0090342;GO:0090344;GO:0097159;GO:0097190;GO:0097193;GO:0097681;GO:0140096;GO:1901360;GO:1901363;GO:1901564;GO:1901652;GO:1901653;GO:1901698;GO:1901699;GO:1901700;GO:1901701;GO:1901987;GO:1901988;GO:1901990;GO:1901991;GO:1902400;GO:1902402;GO:1902403;GO:1902680;GO:1902806;GO:1902807;GO:1903047;GO:1903506;GO:1903508;GO:1990391;GO:2000045;GO:2000112;GO:2000134;GO:2000772;GO:2000773;GO:2001141;GO:2001228;GO:2001229
Montipora_capitata_HIv3___RNAseq.g4589.t1,GO:0000003;GO:0000075;GO:0000077;GO:0000278;GO:0000723;GO:0000724;GO:0000725;GO:0000726;GO:0001756;GO:0001775;GO:0001817;GO:0001819;GO:0001932;GO:0001933;GO:0002200;GO:0002218;GO:0002244;GO:0002253;GO:0002320;GO:0002326;GO:0002328;GO:0002360;GO:0002376;GO:0002377;GO:0002440;GO:0002520;GO:0002521;GO:0002562;GO:0002568;GO:0002637;GO:0002638;GO:0002681;GO:0002682;GO:0002683;GO:0002684;GO:0002697;GO:0002698;GO:0002700;GO:0002701;GO:0003002;GO:0003006;GO:0003674;GO:0003676;GO:0003677;GO:0003690;GO:0003824;GO:0004672;GO:0004674;GO:0004677;GO:0005488;GO:0005515;GO:0005575;GO:0005622;GO:0005623;GO:0005634;GO:0005654;GO:0005667;GO:0005730;GO:0005737;GO:0005829;GO:0005958;GO:0006139;GO:0006259;GO:0006281;GO:0006302;GO:0006303;GO:0006310;GO:0006355;GO:0006357;GO:0006464;GO:0006468;GO:0006725;GO:0006793;GO:0006796;GO:0006807;GO:0006915;GO:0006950;GO:0006974;GO:0006996;GO:0007049;GO:0007093;GO:0007154;GO:0007165;GO:0007275;GO:0007346;GO:0007389;GO:0007399;GO:0007417;GO:0007420;GO:0007507;GO:0008134;GO:0008150;GO:0008152;GO:0008219;GO:0008283;GO:0008284;GO:0008630;GO:0009314;GO:0009628;GO:0009653;GO:0009719;GO:0009725;GO:0009790;GO:0009792;GO:0009888;GO:0009889;GO:0009891;GO:0009892;GO:0009893;GO:0009952;GO:0009987;GO:0010033;GO:0010212;GO:0010243;GO:0010332;GO:0010468;GO:0010556;GO:0010557;GO:0010563;GO:0010564;GO:0010604;GO:0010605;GO:0010623;GO:0010628;GO:0010941;GO:0010942;GO:0010948;GO:0012501;GO:0016043;GO:0016233;GO:0016301;GO:0016310;GO:0016444;GO:0016445;GO:0016447;GO:0016567;GO:0016740;GO:0016772;GO:0016773;GO:0018105;GO:0018193;GO:0018209;GO:0019219;GO:0019220;GO:0019222;GO:0019538;GO:0019899;GO:0019904;GO:0022402;GO:0022414;GO:0023052;GO:0030097;GO:0030098;GO:0030154;GO:0030183;GO:0030217;GO:0031323;GO:0031324;GO:0031325;GO:0031326;GO:0031328;GO:0031347;GO:0031349;GO:0031399;GO:0031400;GO:0031570;GO:0031571;GO:0031647;GO:0031648;GO:0031974;GO:0031981;GO:0032200;GO:0032268;GO:0032269;GO:0032446;GO:0032479;GO:0032481;GO:0032501;GO:0032502;GO:0032868;GO:0032869;GO:0032870;GO:0032991;GO:0032993;GO:0033077;GO:0033151;GO:0033152;GO:0033153;GO:0033554;GO:0034641;GO:0035234;GO:0035282;GO:0035556;GO:0036211;GO:0040008;GO:0042110;GO:0042113;GO:0042127;GO:0042221;GO:0042325;GO:0042326;GO:0042592;GO:0042752;GO:0042770;GO:0042981;GO:0043009;GO:0043065;GO:0043066;GO:0043067;GO:0043068;GO:0043069;GO:0043170;GO:0043226;GO:0043227;GO:0043228;GO:0043229;GO:0043231;GO:0043232;GO:0043233;GO:0043412;GO:0043434;GO:0044237;GO:0044238;GO:0044260;GO:0044267;GO:0044422;GO:0044424;GO:0044428;GO:0044444;GO:0044446;GO:0044464;GO:0044773;GO:0044774;GO:0044783;GO:0044819;GO:0045088;GO:0045089;GO:0045165;GO:0045321;GO:0045786;GO:0045893;GO:0045927;GO:0045930;GO:0045935;GO:0045936;GO:0045944;GO:0046483;GO:0046649;GO:0048145;GO:0048146;GO:0048468;GO:0048513;GO:0048518;GO:0048519;GO:0048522;GO:0048523;GO:0048534;GO:0048536;GO:0048538;GO:0048583;GO:0048584;GO:0048585;GO:0048638;GO:0048639;GO:0048646;GO:0048660;GO:0048731;GO:0048732;GO:0048856;GO:0048869;GO:0050776;GO:0050778;GO:0050789;GO:0050793;GO:0050794;GO:0050896;GO:0051093;GO:0051094;GO:0051171;GO:0051172;GO:0051173;GO:0051174;GO:0051239;GO:0051240;GO:0051246;GO:0051248;GO:0051252;GO:0051254;GO:0051276;GO:0051716;GO:0051726;GO:0060249;GO:0060255;GO:0060322;GO:0060429;GO:0060548;GO:0061053;GO:0065007;GO:0065008;GO:0070013;GO:0070419;GO:0070647;GO:0070887;GO:0071310;GO:0071375;GO:0071417;GO:0071495;GO:0071704;GO:0071840;GO:0072359;GO:0072395;GO:0072401;GO:0072413;GO:0072422;GO:0072431;GO:0080090;GO:0080134;GO:0080135;GO:0090304;GO:0090342;GO:0090344;GO:0097159;GO:0097190;GO:0097193;GO:0097681;GO:0140096;GO:1901360;GO:1901363;GO:1901564;GO:1901652;GO:1901653;GO:1901698;GO:1901699;GO:1901700;GO:1901701;GO:1901987;GO:1901988;GO:1901990;GO:1901991;GO:1902400;GO:1902402;GO:1902403;GO:1902680;GO:1902806;GO:1902807;GO:1903047;GO:1903506;GO:1903508;GO:1990391;GO:2000045;GO:2000112;GO:2000134;GO:2000772;GO:2000773;GO:2001141;GO:2001228;GO:2001229
Montipora_capitata_HIv3___RNAseq.g4591.t1b,-
Montipora_capitata_HIv3___RNAseq.g4599.t1,GO:0000079;GO:0000122;GO:0000502;GO:0001558;GO:0001932;GO:0001933;GO:0001934;GO:0003674;GO:0005488;GO:0005515;GO:0005575;GO:0005622;GO:0005623;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0005838;GO:0005856;GO:0006355;GO:0006357;GO:0006464;GO:0006508;GO:0006807;GO:0007253;GO:0008104;GO:0008134;GO:0008150;GO:0008152;GO:0009889;GO:0009890;GO:0009892;GO:0009893;GO:0009894;GO:0009896;GO:0009966;GO:0009968;GO:0009987;GO:0010468;GO:0010556;GO:0010558;GO:0010562;GO:0010563;GO:0010604;GO:0010605;GO:0010629;GO:0010639;GO:0010646;GO:0010648;GO:0010821;GO:0010823;GO:0010941;GO:0016043;GO:0016579;GO:0019219;GO:0019220;GO:0019222;GO:0019538;GO:0022607;GO:0022624;GO:0023051;GO:0023057;GO:0030162;GO:0030307;GO:0031323;GO:0031324;GO:0031325;GO:0031326;GO:0031327;GO:0031329;GO:0031331;GO:0031396;GO:0031398;GO:0031399;GO:0031400;GO:0031401;GO:0031974;GO:0031981;GO:0032088;GO:0032268;GO:0032269;GO:0032270;GO:0032434;GO:0032436;GO:0032991;GO:0033036;GO:0033043;GO:0033674;GO:0034622;GO:0036211;GO:0040008;GO:0042176;GO:0042325;GO:0042326;GO:0042327;GO:0042981;GO:0042994;GO:0043066;GO:0043067;GO:0043069;GO:0043085;GO:0043170;GO:0043226;GO:0043227;GO:0043228;GO:0043229;GO:0043231;GO:0043232;GO:0043233;GO:0043248;GO:0043408;GO:0043409;GO:0043412;GO:0043433;GO:0043516;GO:0043518;GO:0043549;GO:0043687;GO:0043933;GO:0044085;GO:0044092;GO:0044093;GO:0044237;GO:0044238;GO:0044260;GO:0044267;GO:0044422;GO:0044424;GO:0044428;GO:0044444;GO:0044446;GO:0044464;GO:0045111;GO:0045185;GO:0045732;GO:0045737;GO:0045787;GO:0045859;GO:0045860;GO:0045862;GO:0045892;GO:0045927;GO:0045934;GO:0045936;GO:0045937;GO:0048518;GO:0048519;GO:0048522;GO:0048523;GO:0048583;GO:0048585;GO:0050789;GO:0050790;GO:0050794;GO:0051090;GO:0051128;GO:0051129;GO:0051171;GO:0051172;GO:0051173;GO:0051174;GO:0051179;GO:0051220;GO:0051235;GO:0051246;GO:0051247;GO:0051248;GO:0051252;GO:0051253;GO:0051338;GO:0051347;GO:0051726;GO:0060255;GO:0060548;GO:0061136;GO:0065003;GO:0065007;GO:0065008;GO:0065009;GO:0070013;GO:0070646;GO:0070647;GO:0070682;GO:0071704;GO:0071840;GO:0071900;GO:0071902;GO:0080090;GO:0080134;GO:0080135;GO:0090199;GO:0090201;GO:1901564;GO:1901796;GO:1901797;GO:1901800;GO:1902494;GO:1902531;GO:1902532;GO:1902679;GO:1903050;GO:1903052;GO:1903320;GO:1903322;GO:1903362;GO:1903364;GO:1903506;GO:1903507;GO:1904029;GO:1904031;GO:1905368;GO:1905369;GO:2000058;GO:2000060;GO:2000112;GO:2000113;GO:2001020;GO:2001021;GO:2001141;GO:2001233;GO:2001234
Montipora_capitata_HIv3___RNAseq.g4604.t1,GO:0000323;GO:0000902;GO:0001501;GO:0003674;GO:0003824;GO:0003940;GO:0004553;GO:0005102;GO:0005488;GO:0005515;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005764;GO:0005773;GO:0005775;GO:0005975;GO:0005984;GO:0006022;GO:0006026;GO:0006027;GO:0006029;GO:0006082;GO:0006790;GO:0006807;GO:0006996;GO:0007033;GO:0007040;GO:0007275;GO:0008150;GO:0008152;GO:0009056;GO:0009057;GO:0009100;GO:0009311;GO:0009653;GO:0009887;GO:0009987;GO:0016043;GO:0016054;GO:0016787;GO:0016798;GO:0017144;GO:0019538;GO:0019752;GO:0030135;GO:0030203;GO:0030204;GO:0030205;GO:0030207;GO:0030209;GO:0031410;GO:0031974;GO:0031982;GO:0032501;GO:0032502;GO:0032787;GO:0032989;GO:0035107;GO:0035108;GO:0042592;GO:0042737;GO:0043170;GO:0043202;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0043233;GO:0043436;GO:0044237;GO:0044238;GO:0044248;GO:0044260;GO:0044262;GO:0044273;GO:0044281;GO:0044282;GO:0044422;GO:0044424;GO:0044437;GO:0044444;GO:0044446;GO:0044464;GO:0046395;GO:0048513;GO:0048705;GO:0048731;GO:0048736;GO:0048856;GO:0048869;GO:0048878;GO:0050654;GO:0050655;GO:0060173;GO:0065007;GO:0065008;GO:0070013;GO:0071704;GO:0071840;GO:0072329;GO:0080171;GO:0097708;GO:1901135;GO:1901136;GO:1901564;GO:1901565;GO:1901575;GO:1903510
