Montipora_capitata_HIv3___Scaffold_1	22731	23001	-
Montipora_capitata_HIv3___Scaffold_1	27867	27933	-
Montipora_capitata_HIv3___Scaffold_1	29682	29721	-
Montipora_capitata_HIv3___Scaffold_1	30149	30229	-
Montipora_capitata_HIv3___Scaffold_1	31465	31704	-
Montipora_capitata_HIv3___Scaffold_1	31889	31987	-
Montipora_capitata_HIv3___Scaffold_1	33294	33366	-
Montipora_capitata_HIv3___Scaffold_1	35410	35457	-
Montipora_capitata_HIv3___Scaffold_1	35646	35668	-
Montipora_capitata_HIv3___Scaffold_1	35766	35870	-
Montipora_capitata_HIv3___Scaffold_1	35948	36175	-
Montipora_capitata_HIv3___Scaffold_1	44640	44761	-
Montipora_capitata_HIv3___Scaffold_1	45642	45753	-
Montipora_capitata_HIv3___Scaffold_1	46282	46428	-
Montipora_capitata_HIv3___Scaffold_1	47359	47464	-
Montipora_capitata_HIv3___Scaffold_1	47882	47943	-
Montipora_capitata_HIv3___Scaffold_1	49344	49399	-
Montipora_capitata_HIv3___Scaffold_1	49956	50037	-
Montipora_capitata_HIv3___Scaffold_1	50645	50793	-
Montipora_capitata_HIv3___Scaffold_1	51864	51927	-
Montipora_capitata_HIv3___Scaffold_1	52892	52954	-
Montipora_capitata_HIv3___Scaffold_1	58383	58475	-
Montipora_capitata_HIv3___Scaffold_1	59177	59257	-
Montipora_capitata_HIv3___Scaffold_1	60836	60885	-
Montipora_capitata_HIv3___Scaffold_1	62566	62683	-
Montipora_capitata_HIv3___Scaffold_1	63111	63140	-
Montipora_capitata_HIv3___Scaffold_1	64554	64663	-
Montipora_capitata_HIv3___Scaffold_1	69669	69732	-
Montipora_capitata_HIv3___Scaffold_1	77789	77878	-
Montipora_capitata_HIv3___Scaffold_1	81295	81416	-
Montipora_capitata_HIv3___Scaffold_1	82106	82292	-
Montipora_capitata_HIv3___Scaffold_1	82396	82504	+
Montipora_capitata_HIv3___Scaffold_1	86515	86581	+
Montipora_capitata_HIv3___Scaffold_1	87959	88072	+
Montipora_capitata_HIv3___Scaffold_1	88386	88581	+
Montipora_capitata_HIv3___Scaffold_1	89305	89387	+
Montipora_capitata_HIv3___Scaffold_1	89487	89694	+
Montipora_capitata_HIv3___Scaffold_1	91286	91525	+
Montipora_capitata_HIv3___Scaffold_1	92207	92458	+
Montipora_capitata_HIv3___Scaffold_1	92812	92906	+
Montipora_capitata_HIv3___Scaffold_1	93118	93250	+
Montipora_capitata_HIv3___Scaffold_1	93817	93892	+
Montipora_capitata_HIv3___Scaffold_1	94947	94996	+
